module_path,channel_index,group_id
conv.7,89,conv.7:out:89
conv.7,53,conv.7:out:53
conv.10,42,conv.10:out:42
conv.7,88,conv.7:out:88
conv.10,250,conv.10:out:250
conv.10,2,conv.10:out:2
conv.7,57,conv.7:out:57
conv.10,97,conv.10:out:97
conv.10,39,conv.10:out:39
conv.10,179,conv.10:out:179
conv.10,210,conv.10:out:210
conv.10,125,conv.10:out:125
conv.10,183,conv.10:out:183
conv.10,197,conv.10:out:197
conv.10,245,conv.10:out:245
conv.10,10,conv.10:out:10
conv.10,107,conv.10:out:107
conv.10,217,conv.10:out:217
conv.3,108,conv.3:out:108
conv.10,196,conv.10:out:196
conv.10,182,conv.10:out:182
conv.10,216,conv.10:out:216
conv.10,174,conv.10:out:174
conv.10,162,conv.10:out:162
conv.10,44,conv.10:out:44
conv.7,62,conv.7:out:62
conv.10,106,conv.10:out:106
conv.10,70,conv.10:out:70
conv.10,218,conv.10:out:218
conv.7,111,conv.7:out:111
conv.3,1,conv.3:out:1
conv.10,81,conv.10:out:81
conv.10,92,conv.10:out:92
conv.10,103,conv.10:out:103
conv.10,6,conv.10:out:6
conv.10,72,conv.10:out:72
conv.10,84,conv.10:out:84
conv.10,132,conv.10:out:132
conv.10,4,conv.10:out:4
conv.10,223,conv.10:out:223
conv.10,48,conv.10:out:48
conv.10,32,conv.10:out:32
conv.7,48,conv.7:out:48
conv.10,215,conv.10:out:215
conv.10,34,conv.10:out:34
conv.10,248,conv.10:out:248
conv.10,7,conv.10:out:7
conv.7,14,conv.7:out:14
conv.7,76,conv.7:out:76
conv.10,246,conv.10:out:246
conv.10,52,conv.10:out:52
conv.10,148,conv.10:out:148
conv.10,135,conv.10:out:135
conv.7,59,conv.7:out:59
conv.7,21,conv.7:out:21
conv.10,242,conv.10:out:242
conv.10,40,conv.10:out:40
conv.10,75,conv.10:out:75
conv.0,39,conv.0:out:39
conv.10,56,conv.10:out:56
conv.3,109,conv.3:out:109
conv.10,124,conv.10:out:124
conv.10,5,conv.10:out:5
conv.10,158,conv.10:out:158
conv.7,127,conv.7:out:127
conv.10,35,conv.10:out:35
conv.3,71,conv.3:out:71
conv.10,191,conv.10:out:191
conv.10,221,conv.10:out:221
conv.10,86,conv.10:out:86
conv.3,51,conv.3:out:51
conv.10,167,conv.10:out:167
conv.10,149,conv.10:out:149
conv.10,101,conv.10:out:101
conv.3,118,conv.3:out:118
conv.10,155,conv.10:out:155
conv.10,14,conv.10:out:14
conv.3,9,conv.3:out:9
conv.10,156,conv.10:out:156
conv.10,240,conv.10:out:240
conv.3,24,conv.3:out:24
conv.10,117,conv.10:out:117
conv.3,117,conv.3:out:117
conv.10,161,conv.10:out:161
conv.3,126,conv.3:out:126
conv.10,186,conv.10:out:186
conv.10,159,conv.10:out:159
conv.10,170,conv.10:out:170
conv.10,175,conv.10:out:175
conv.7,86,conv.7:out:86
conv.3,124,conv.3:out:124
conv.10,53,conv.10:out:53
conv.10,143,conv.10:out:143
conv.10,188,conv.10:out:188
conv.10,13,conv.10:out:13
conv.7,25,conv.7:out:25
conv.7,95,conv.7:out:95
conv.10,253,conv.10:out:253
conv.10,123,conv.10:out:123
conv.10,66,conv.10:out:66
conv.10,164,conv.10:out:164
conv.10,30,conv.10:out:30
conv.3,105,conv.3:out:105
conv.10,254,conv.10:out:254
conv.10,140,conv.10:out:140
conv.10,100,conv.10:out:100
conv.10,29,conv.10:out:29
conv.10,68,conv.10:out:68
conv.10,222,conv.10:out:222
conv.3,76,conv.3:out:76
conv.10,229,conv.10:out:229
conv.7,74,conv.7:out:74
conv.10,111,conv.10:out:111
conv.10,102,conv.10:out:102
conv.7,18,conv.7:out:18
conv.10,119,conv.10:out:119
conv.7,33,conv.7:out:33
conv.10,47,conv.10:out:47
conv.7,93,conv.7:out:93
conv.10,49,conv.10:out:49
conv.10,127,conv.10:out:127
conv.10,173,conv.10:out:173
conv.10,138,conv.10:out:138
conv.10,208,conv.10:out:208
conv.10,43,conv.10:out:43
conv.10,163,conv.10:out:163
conv.7,26,conv.7:out:26
conv.10,105,conv.10:out:105
conv.10,65,conv.10:out:65
conv.10,45,conv.10:out:45
conv.10,51,conv.10:out:51
conv.7,51,conv.7:out:51
conv.10,22,conv.10:out:22
conv.10,235,conv.10:out:235
conv.10,121,conv.10:out:121
conv.10,8,conv.10:out:8
conv.10,214,conv.10:out:214
conv.7,103,conv.7:out:103
conv.10,145,conv.10:out:145
conv.10,141,conv.10:out:141
conv.7,117,conv.7:out:117
conv.10,238,conv.10:out:238
conv.10,64,conv.10:out:64
conv.7,56,conv.7:out:56
conv.7,11,conv.7:out:11
conv.7,19,conv.7:out:19
conv.10,74,conv.10:out:74
conv.3,32,conv.3:out:32
conv.10,114,conv.10:out:114
conv.10,99,conv.10:out:99
conv.10,151,conv.10:out:151
conv.10,147,conv.10:out:147
conv.10,137,conv.10:out:137
conv.10,87,conv.10:out:87
conv.3,16,conv.3:out:16
conv.10,139,conv.10:out:139
conv.10,67,conv.10:out:67
conv.10,108,conv.10:out:108
conv.10,230,conv.10:out:230
conv.10,244,conv.10:out:244
conv.10,133,conv.10:out:133
conv.7,4,conv.7:out:4
conv.10,201,conv.10:out:201
conv.10,94,conv.10:out:94
conv.3,119,conv.3:out:119
