method,budget,regime,awbir,fine_macro_f1,family_macro_f1,attack_to_benign_rate,benign_to_attack_rate,hsr_balanced_soc,ece15
random,0.25,none,0.3597875755846723,0.17177925525406929,0.2494778381308791,0.00015790091909888642,0.9093186372745491,0.3454502751919425,0.3732589937620282
random,0.25,minimal,0.1350249347059044,0.5487695618433345,0.6020981776587316,0.06808418044608935,0.014529058116232466,0.15666150207645657,0.08723365314015537
random,0.4,none,0.49251996758211175,0.09693225241470758,0.1536465084667866,0.00011746287884185452,0.9999665998663995,0.456161004127424,0.6064021221210303
random,0.4,minimal,0.12044009462899152,0.538953829165977,0.6002624482044693,0.0743347460972477,0.012424849699398798,0.15929999472010165,0.08622066200497307
random,0.55,none,0.5002726167340309,0.030867673962181694,0.15847525931189255,0.0,1.0,0.4172365012116456,0.6131620372512077
random,0.55,minimal,0.16433681906704853,0.5335391655810021,0.6077682812697254,0.04990824416103583,0.08052772211088845,0.14551691115023496,0.045149999020830625
magnitude,0.25,none,0.5159833937117294,0.01598262255901342,0.11521474801048656,7.124797569096094e-05,1.0,0.49495878948317074,0.8716599731710037
magnitude,0.25,minimal,0.11598592298067428,0.526623320613389,0.5912758326120205,0.04505760495115663,0.03159652638610554,0.15145625058033366,0.09477026010474911
magnitude,0.4,none,0.5507866495268183,0.009347539182114506,0.06274337214060274,0.0,1.0,0.5072777026252019,0.8983359845027084
magnitude,0.4,minimal,0.12705424768100737,0.5125828938090065,0.6023916982955071,0.04532334064427426,0.041783567134268534,0.14876932852437766,0.11774278219847077
magnitude,0.55,none,0.5044291671407305,0.009188441581175209,0.06614115056912052,0.0,1.0,0.5029514631690678,0.8801518715868843
magnitude,0.55,minimal,0.15164089481833648,0.5304137176804675,0.5894938345371274,0.038833997993502956,0.08931195724782899,0.14121397607295727,0.05071671034158169
taylor,0.25,none,0.3055229943400536,0.2913429371170924,0.3583829609066503,0.02244503796361732,0.8949899799599198,0.2732980975980104,0.3258064311957723
taylor,0.25,minimal,0.11399160892115542,0.5028266314117653,0.5924812092912709,0.059287943879702605,0.009318637274549098,0.15719968757567096,0.15139611941828052
taylor,0.4,none,0.3573467546817248,0.15407218335102146,0.19654145951978882,0.0006778185795464392,0.9991649966599866,0.3987845309902722,0.4817424112291717
taylor,0.4,minimal,0.11380964831831782,0.532361235550521,0.6216907885419153,0.04133730524750969,0.00985303941215765,0.144570899021034,0.10586114078691745
taylor,0.55,none,0.3406351357628996,0.027911733461275713,0.07724910232632702,0.0003754960881010104,0.9998997995991984,0.5313030607024449,0.8358009538756256
taylor,0.55,minimal,0.11390993194200272,0.5304427997673132,0.6183942283118102,0.05291606410777316,0.007214428857715431,0.15019526520565205,0.09487029544510721
fisher,0.25,none,0.12430245108856507,0.4841940826242297,0.5226692012748391,0.019610523903695845,0.6090180360721443,0.14601904768840587,0.08865135761168193
fisher,0.25,minimal,0.09585662354515168,0.5437541876013774,0.6134223097124052,0.059736613564459196,0.004375417501670006,0.14655213535474546,0.0931773475340315
fisher,0.4,none,0.14458567713084666,0.4593314385221621,0.5055724036994798,0.021412905126580693,0.621376085504342,0.15823345525650293,0.08539712914128342
fisher,0.4,minimal,0.0990239822787122,0.5268603630524569,0.6138823992296205,0.06170459819030142,0.019004676018704075,0.15188956637469436,0.09125756476312623
fisher,0.55,none,0.2534273159475522,0.2538789935867572,0.3086171291014199,0.04412175316235103,0.8231128924515698,0.3294612865109522,0.22192260385999624
fisher,0.55,minimal,0.15553607335895062,0.5173326908041042,0.5802291454312836,0.05122922014276554,0.08293253173012692,0.14984387886820827,0.06722590684315767
saber_v2,0.25,none,0.09260376151201136,0.5135666223736917,0.5120399150707157,0.023717873421231512,0.7045090180360721,0.13931539745800206,0.028831209413499134
saber_v2,0.25,minimal,0.09941759622655341,0.538866007027207,0.6266868419888287,0.05691557885129007,0.011289245156980628,0.1435742726940044,0.09773383606849192
saber_v2,0.4,none,0.1690249589203792,0.4045311783063265,0.4248177017910275,0.004554093581327638,0.9872077488309953,0.19189990769281187,0.0781474869081635
saber_v2,0.4,minimal,0.1097694333814749,0.5410777264733305,0.6167139679842824,0.05779173639019243,0.06142284569138277,0.14848202922878892,0.09644215287816024
saber_v2,0.55,none,0.20202441748491026,0.3141698826303703,0.40377667375782883,0.009314228605869678,0.9439879759519038,0.2355402701487293,0.1528960551874751
saber_v2,0.55,minimal,0.12178937740739701,0.5411798002732551,0.6103782255760267,0.04974071513711384,0.11292585170340681,0.1498548027957972,0.04550390697045052
random,0.25,full,0.1192996755219499,0.5563512210964272,0.6726117084439752,0.0824839740195219,0.0006012024048096,0.172731327821605,0.2147679804017972
random,0.4,full,0.1031286269585888,0.5606400881586209,0.6388289201280856,0.0744984238792404,0.0006012024048096,0.1528505078716001,0.1563101700203341
random,0.55,full,0.1153010878609425,0.5425359121189129,0.6408811781644445,0.0811187087556059,0.0002672010688042,0.1719539083081931,0.1958720839574816
magnitude,0.25,full,0.1219618637658456,0.5589701850173854,0.6849537124686789,0.0762180034006466,0.0002338009352037,0.1657188945713542,0.1955883802328468
magnitude,0.4,full,0.1275171180699343,0.5635057486966543,0.6525746722268574,0.0950525020556003,0.0003340013360053,0.1787875532769051,0.2091412520249123
magnitude,0.55,full,0.123509740156006,0.5462272336396063,0.6345448043003385,0.0886478867272723,0.0004342017368069,0.1790373470877719,0.2140832702356541
taylor,0.25,full,0.1075229806099892,0.5807213912482281,0.6720588877251523,0.0622187389878551,0.0003006012024048,0.1494353239763824,0.1724380212979294
taylor,0.4,full,0.0979460338356522,0.5509242013583485,0.6102789697563398,0.0723455796407946,0.0006680026720106,0.1559346967608734,0.1588435526581707
taylor,0.55,full,0.1145464133354917,0.5797712239836468,0.6597493681942277,0.0710226780381003,0.0006346025384101,0.1597831964504518,0.1982284376402781
fisher,0.25,full,0.1043184099569139,0.547447050546734,0.5939216954918505,0.0748931761769876,0.0006012024048096,0.1571738342803771,0.1549749982723321
fisher,0.4,full,0.1167347990745847,0.5628702552595615,0.6294213425162446,0.0770960865605136,0.0016032064128256,0.1638439844661749,0.1871638332153067
fisher,0.55,full,0.111116911517555,0.567185532999616,0.6556608843264806,0.0663973364810817,6.68002672010688e-05,0.1567751109233814,0.179694426533301
saber_v2,0.25,full,0.1127004665046305,0.5338317272840802,0.5944312391497049,0.0663453447150369,0.0002672010688042,0.1552650599996722,0.1689461592652961
saber_v2,0.4,full,0.1125283843240577,0.5660173379153065,0.6592590444748612,0.0527851218821789,0.0004342017368069,0.1512348589811981,0.1781101442492537
saber_v2,0.55,full,0.1170198074780539,0.5687796143280168,0.676316706280183,0.0626288962533192,0.0050768203072812,0.1565325997309072,0.1964432025389678
